x,y
512.0,812.5
513.0,812.6
514.0,812.6
515.0,812.7
516.0,812.8
517.0,813.0
518.0,813.1
519.0,813.2
520.0,813.2
521.0,813.4
522.0,812.0
523.0,812.9
524.0,813.9
525.0,813.0
526.0,813.9
527.0,813.0
528.0,813.9
529.0,813.0
530.0,813.9
531.0,813.0
532.0,813.9
533.0,813.0
534.0,813.9
535.0,813.0
536.0,813.9
537.0,813.0
538.0,813.9
539.0,813.0
540.0,813.9
541.0,813.0
542.0,813.9
543.0,813.0
544.0,813.9
545.0,813.0
546.0,813.9
547.0,813.0
548.0,813.9
549.0,813.0
550.0,813.9
551.0,814.9
552.0,814.0
553.0,814.9
554.0,814.0
555.0,814.9
556.0,814.0
557.0,814.9
558.0,814.0
559.0,814.9
560.0,814.0
561.0,813.0
562.0,813.9
563.0,813.0
564.0,813.9
565.0,813.0
566.0,812.0
567.0,812.9
568.0,812.0
569.0,812.9
570.0,812.0
571.0,812.9
572.0,812.0
573.0,812.9
574.0,812.0
575.0,812.9
576.0,812.0
577.0,811.0
578.0,811.9
579.0,811.0
580.0,811.9
581.0,811.0
582.0,811.9
583.0,811.0
584.0,810.0
585.0,810.9
586.0,810.0
587.0,810.9
588.0,810.0
589.0,809.0
590.0,809.9
591.0,809.0
592.0,809.9
593.0,809.0
594.0,808.0
595.0,808.9
596.0,808.0
597.0,808.9
598.0,808.0
599.0,808.9
600.0,808.0
601.0,808.9
602.0,808.0
603.0,808.9
604.0,808.0
605.0,808.9
606.0,808.0
607.0,808.9
608.0,808.0
609.0,808.9
610.0,808.0
611.0,808.9
612.0,808.0
613.0,808.9
614.0,808.0
615.0,808.9
616.0,808.0
617.0,808.9
618.0,809.9
619.0,809.0
620.0,809.9
621.0,809.0
622.0,809.9
623.0,809.0
624.0,809.9
625.0,809.0
626.0,809.9
627.0,809.0
628.0,809.9
629.0,809.0
630.0,809.9
631.0,809.0
632.0,809.9
633.0,809.0
634.0,809.9
635.0,809.0
636.0,809.9
637.0,809.0
638.0,809.9
639.0,809.0
640.0,809.9
641.0,809.0
642.0,809.9
643.0,810.9
644.0,810.0
645.0,810.9
646.0,810.0
647.0,810.9
648.0,810.0
649.0,810.9
650.0,811.9
651.0,811.0
652.0,811.9
653.0,811.0
654.0,811.9
655.0,811.0
656.0,811.9
657.0,811.0
658.0,811.9
659.0,811.0
660.0,811.9
661.0,812.9
662.0,812.0
663.0,812.9
664.0,813.9
665.0,813.0
666.0,813.9
667.0,813.0
668.0,813.9
669.0,813.0
670.0,813.9
